epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8715,1.2773,2.77226,1.47058,0.22521,0.03333,0.13485,0.09207,1.30003,2.74037,1.45002,0.0001,0.0001,0.0001
2,20.7168,1.30988,2.67564,1.45345,0.54953,0.24453,0.36663,0.24975,1.1569,2.36863,1.33617,0.000217822,0.000217822,0.000217822
3,30.8007,1.17285,2.13187,1.33292,0.7275,0.66667,0.6721,0.4194,1.15305,1.87691,1.30657,0.000333268,0.000333268,0.000333268
4,40.7648,1.21866,1.79867,1.32284,0.79195,0.73333,0.79068,0.49435,1.09759,1.49833,1.2338,0.000446338,0.000446338,0.000446338
5,50.5084,1.21665,1.57038,1.33132,0.63366,0.83333,0.79971,0.5428,1.0577,1.29595,1.14839,0.000557032,0.000557032,0.000557032
6,60.0554,1.0908,1.32008,1.20842,0.77684,0.73333,0.83416,0.57438,1.11881,1.22286,1.1611,0.00066535,0.00066535,0.00066535
7,69.6331,1.09621,1.26684,1.22569,0.86545,0.76667,0.84049,0.56923,1.11743,1.15733,1.1092,0.000771292,0.000771292,0.000771292
8,79.4543,1.11399,1.06332,1.18707,0.89278,0.83333,0.84064,0.56931,1.11612,1.24694,1.11452,0.000874858,0.000874858,0.000874858
9,89.1509,1.07654,1.07176,1.16452,0.86264,0.83751,0.87779,0.59177,1.12941,1.45353,1.10725,0.000976048,0.000976048,0.000976048
10,99.2296,1.14422,1.01384,1.16548,0.8606,0.83333,0.87184,0.56122,1.18633,1.32161,1.13107,0.00107486,0.00107486,0.00107486
11,109.44,1.15203,1.01637,1.20043,0.83341,0.86667,0.89981,0.6157,1.15046,1.18493,1.12981,0.0011713,0.0011713,0.0011713
12,119.094,1.05055,0.97582,1.16468,0.92532,0.8262,0.89939,0.61825,1.13076,1.13145,1.12156,0.00126536,0.00126536,0.00126536
13,129.138,1.04879,0.93305,1.14646,0.92142,0.86667,0.92525,0.63814,1.08841,1.01915,1.07298,0.00135705,0.00135705,0.00135705
14,139.038,1.09099,0.92188,1.13389,0.90419,0.96667,0.93727,0.61078,1.12484,1.07711,1.12261,0.00144636,0.00144636,0.00144636
15,148.941,1.03839,0.89407,1.13351,0.9278,0.96667,0.93792,0.60937,1.15236,1.04859,1.14016,0.00153329,0.00153329,0.00153329
16,153.055,1.02377,0.9272,1.12813,0.93414,0.96667,0.93534,0.61056,1.1712,0.95311,1.12179,0.00161785,0.00161785,0.00161785
17,164.562,1.02906,0.89138,1.11766,0.90081,0.96667,0.93771,0.63005,1.12594,0.89912,1.09293,0.0016832,0.0016832,0.0016832
18,168.378,0.96383,0.82107,1.07596,0.92757,0.93333,0.93207,0.651,1.04538,0.93269,1.08237,0.0016634,0.0016634,0.0016634
19,178.506,0.9813,0.80393,1.06832,0.89361,0.93333,0.9289,0.66083,1.02217,0.94642,1.08269,0.0016436,0.0016436,0.0016436
20,188.017,1.03201,0.84981,1.09879,0.86406,0.93333,0.90376,0.60868,1.08208,0.89202,1.06914,0.0016238,0.0016238,0.0016238
21,192.375,0.95387,0.80419,1.07569,0.90239,0.92466,0.90042,0.54152,1.29502,0.9568,1.15794,0.001604,0.001604,0.001604
22,202.481,0.96399,0.76578,1.07433,0.87003,0.89273,0.91243,0.60592,1.1314,0.97544,1.13718,0.0015842,0.0015842,0.0015842
23,211.994,0.97415,0.7865,1.10139,0.89632,0.93333,0.91849,0.61474,1.07251,0.88754,1.12182,0.0015644,0.0015644,0.0015644
24,221.721,0.94577,0.73976,1.09307,0.92584,0.9,0.91971,0.637,1.09689,0.83911,1.12308,0.0015446,0.0015446,0.0015446
25,231.044,0.98435,0.75265,1.09167,0.83588,0.93333,0.89681,0.62046,1.09451,0.88945,1.14467,0.0015248,0.0015248,0.0015248
26,237.669,0.92773,0.72271,1.0786,0.85363,0.8,0.83317,0.53099,1.13143,1.09886,1.22827,0.001505,0.001505,0.001505
27,245.197,0.9175,0.72879,1.0668,0.75506,0.92494,0.83231,0.55105,1.09174,1.0718,1.20294,0.0014852,0.0014852,0.0014852
28,254.62,0.94778,0.71607,1.0801,0.8233,0.93333,0.87107,0.57099,1.06266,0.92314,1.16256,0.0014654,0.0014654,0.0014654
29,263.702,0.94586,0.69643,1.07805,0.8886,0.86667,0.85908,0.57822,1.09204,0.91426,1.17879,0.0014456,0.0014456,0.0014456
30,273.825,0.88773,0.70562,1.05727,0.83799,0.86223,0.80081,0.53377,1.09784,1.00774,1.18954,0.0014258,0.0014258,0.0014258
31,283.786,0.91796,0.68975,1.04372,0.83405,0.86667,0.8114,0.53684,1.09692,0.97386,1.18888,0.001406,0.001406,0.001406
32,293.459,0.89119,0.65292,1.04582,0.86598,0.86168,0.87553,0.59097,1.09701,0.85213,1.1677,0.0013862,0.0013862,0.0013862
33,303.739,0.8572,0.64595,1.05084,0.88895,0.86667,0.88406,0.60587,1.06849,0.80863,1.14281,0.0013664,0.0013664,0.0013664
34,307.405,0.90935,0.65376,1.05019,0.90179,0.86667,0.9066,0.62598,1.02643,0.77252,1.12401,0.0013466,0.0013466,0.0013466
35,317.132,0.86124,0.63229,1.03924,0.85197,0.95938,0.90544,0.63959,0.99369,0.75438,1.08429,0.0013268,0.0013268,0.0013268
36,326.987,0.84679,0.61617,1.04654,0.87781,0.95805,0.89783,0.64753,1.00543,0.72557,1.05925,0.001307,0.001307,0.001307
37,336.738,0.8261,0.61242,1.02194,0.8783,0.96237,0.91025,0.63155,1.01111,0.71047,1.06763,0.0012872,0.0012872,0.0012872
38,346.58,0.87753,0.64589,1.05304,0.86776,0.93333,0.9127,0.62796,1.0343,0.71951,1.07768,0.0012674,0.0012674,0.0012674
39,350.001,0.81949,0.62735,1.03585,0.82009,0.96667,0.89833,0.61768,1.02474,0.71871,1.04909,0.0012476,0.0012476,0.0012476
40,358.67,0.8284,0.59435,1.02216,0.85351,0.96667,0.91152,0.64738,0.97958,0.68995,1.00107,0.0012278,0.0012278,0.0012278
41,368.644,0.80582,0.59427,1.0157,0.85574,0.98884,0.90521,0.63525,1.03144,0.69957,1.02353,0.001208,0.001208,0.001208
42,377.613,0.84028,0.61778,1.02247,0.90598,0.96372,0.9342,0.63832,1.06004,0.67215,1.07633,0.0011882,0.0011882,0.0011882
43,386.586,0.8244,0.59823,1.01477,0.90609,0.9649,0.94199,0.64297,1.04731,0.67448,1.08334,0.0011684,0.0011684,0.0011684
44,395.594,0.78085,0.59101,0.99688,0.92654,0.93333,0.95552,0.68183,0.96726,0.63903,1.02877,0.0011486,0.0011486,0.0011486
45,404.541,0.79385,0.57863,1.01094,0.92872,0.93333,0.9638,0.70322,0.96508,0.62473,1.00842,0.0011288,0.0011288,0.0011288
46,413.507,0.78776,0.58487,1.01789,0.94766,0.93333,0.96677,0.72369,0.94021,0.60473,1.0023,0.001109,0.001109,0.001109
47,422.431,0.79945,0.56141,1.03323,0.9307,0.93333,0.96984,0.7372,0.92457,0.59404,1.01403,0.0010892,0.0010892,0.0010892
48,431.332,0.79374,0.58498,1.03387,0.92866,0.93333,0.94555,0.71112,0.9932,0.64454,1.05,0.0010694,0.0010694,0.0010694
49,440.33,0.81406,0.58113,0.99921,0.92044,0.93333,0.93951,0.6923,0.9853,0.67618,1.06298,0.0010496,0.0010496,0.0010496
50,449.74,0.79122,0.56843,1.00176,0.85049,1,0.92325,0.66797,0.98747,0.68429,1.07064,0.0010298,0.0010298,0.0010298
51,458.848,0.80972,0.57345,1.01419,0.85275,1,0.92212,0.66643,0.9923,0.69101,1.06929,0.00101,0.00101,0.00101
52,468.255,0.76883,0.55351,1.00461,0.85027,1,0.93178,0.63717,1.05809,0.68543,1.05964,0.0009902,0.0009902,0.0009902
53,477.272,0.77331,0.52899,1.01175,0.85355,1,0.93604,0.62975,1.02738,0.66858,1.04208,0.0009704,0.0009704,0.0009704
54,486.329,0.80059,0.57595,1.02116,0.87042,0.96667,0.95307,0.67165,0.96995,0.65684,1.01511,0.0009506,0.0009506,0.0009506
55,495.495,0.79731,0.54823,1.00913,0.85645,0.99451,0.95943,0.67825,0.98582,0.6415,1.02533,0.0009308,0.0009308,0.0009308
56,504.528,0.77883,0.54275,0.98697,0.84781,1,0.97632,0.70506,0.99395,0.63248,1.03449,0.000911,0.000911,0.000911
57,513.498,0.77933,0.54963,0.99877,0.96384,0.88872,0.97434,0.69453,0.99177,0.61255,1.02483,0.0008912,0.0008912,0.0008912
58,522.763,0.80419,0.55945,1.01123,0.83016,1,0.9546,0.66493,1.05219,0.62305,1.03041,0.0008714,0.0008714,0.0008714
59,531.784,0.73136,0.5213,0.97398,0.85641,0.99418,0.95732,0.66615,1.03269,0.61425,1.02765,0.0008516,0.0008516,0.0008516
60,541.031,0.7192,0.52039,0.97624,0.90568,0.96667,0.92243,0.63973,1.0203,0.62675,1.03377,0.0008318,0.0008318,0.0008318
61,550.327,0.71201,0.49416,0.96537,0.9059,0.96285,0.91743,0.63651,1.02642,0.64371,1.04177,0.000812,0.000812,0.000812
62,559.633,0.70851,0.52038,0.99499,0.90181,0.93333,0.92077,0.65448,1.04137,0.67649,1.05962,0.0007922,0.0007922,0.0007922
63,568.595,0.67791,0.48591,0.97941,0.9057,0.96057,0.92484,0.65548,1.07505,0.66777,1.06514,0.0007724,0.0007724,0.0007724
