epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,489.849,0.93496,0.78168,1.06203,0.81617,0.88821,0.92973,0.60548,1.20339,0.97601,1.14223,0.0011684,0.0011684,0.0011684
44,501.723,0.92752,0.78724,1.04904,0.87047,0.89618,0.91704,0.59991,1.21855,0.92846,1.18435,0.0011486,0.0011486,0.0011486
45,513.931,0.96663,0.7918,1.08916,0.90225,0.93333,0.92398,0.61699,1.18503,0.93981,1.18819,0.0011288,0.0011288,0.0011288
46,525.96,0.93757,0.77301,1.07479,0.87017,0.89379,0.89118,0.5776,1.139,1.05717,1.10239,0.001109,0.001109,0.001109
47,537.924,0.95617,0.76133,1.08933,0.85096,0.9,0.89328,0.60273,1.07075,1.03649,1.07726,0.0010892,0.0010892,0.0010892
48,550.12,0.89372,0.77831,1.06723,0.82626,0.95141,0.9091,0.63173,1.19435,0.89886,1.15664,0.0010694,0.0010694,0.0010694
49,559.145,0.89088,0.72277,1.02502,0.85886,0.9,0.90628,0.61255,1.14749,0.92519,1.14563,0.0010496,0.0010496,0.0010496
50,570.849,0.89683,0.75268,1.03747,0.87251,0.91272,0.91165,0.60343,1.17299,0.9463,1.12677,0.0010298,0.0010298,0.0010298
51,582.541,0.90136,0.7274,1.04579,0.89782,0.93333,0.93055,0.63799,1.18217,0.91322,1.1306,0.00101,0.00101,0.00101
52,595.035,0.90126,0.70599,1.0384,0.89503,0.9,0.92913,0.61119,1.16897,0.92021,1.16679,0.0009902,0.0009902,0.0009902
53,607.127,0.82535,0.67972,1.03532,0.82743,0.95915,0.88353,0.58747,1.10722,0.9368,1.09755,0.0009704,0.0009704,0.0009704
54,618.765,0.91054,0.73469,1.05735,0.89611,0.9,0.90068,0.61195,1.1351,0.93313,1.07039,0.0009506,0.0009506,0.0009506
55,622.946,0.90353,0.70554,1.03773,0.86654,0.9,0.88616,0.55047,1.25177,0.99211,1.16652,0.0009308,0.0009308,0.0009308
56,629.415,0.88307,0.72036,1.01207,0.88958,0.93333,0.8795,0.54074,1.24456,1.05562,1.21194,0.000911,0.000911,0.000911
57,641.69,0.88162,0.68714,1.03449,0.84445,0.90492,0.88743,0.56043,1.19118,1.0598,1.17491,0.0008912,0.0008912,0.0008912
58,653.992,0.8761,0.6926,1.03347,0.88845,0.9,0.92507,0.63685,1.07429,0.91019,1.08609,0.0008714,0.0008714,0.0008714
59,665.995,0.8346,0.64687,1.00725,0.86056,0.9,0.93005,0.65702,1.06421,0.88892,1.08943,0.0008516,0.0008516,0.0008516
60,670.41,0.81661,0.6523,1.01265,0.914,0.83333,0.92385,0.66627,1.05003,0.84973,1.0964,0.0008318,0.0008318,0.0008318
61,674.477,0.78569,0.61882,0.98912,0.92748,0.85295,0.92606,0.67072,1.02319,0.85295,1.08073,0.000812,0.000812,0.000812
62,686.533,0.8136,0.65397,1.03254,0.92258,0.93333,0.9192,0.63591,1.05649,0.87135,1.08576,0.0007922,0.0007922,0.0007922
63,691.541,0.77794,0.64028,1.00728,0.87601,0.94224,0.92698,0.63338,1.09267,0.85026,1.09887,0.0007724,0.0007724,0.0007724
64,696.74,0.83666,0.65585,1.00865,0.90534,0.95666,0.91167,0.63314,1.09103,0.83468,1.08347,0.0007526,0.0007526,0.0007526
65,708.548,0.80277,0.62025,1.00614,0.87772,0.95731,0.88049,0.61697,1.07743,0.83102,1.07849,0.0007328,0.0007328,0.0007328
66,721.037,0.76697,0.61141,1.00025,0.86936,0.93333,0.88943,0.63354,1.0843,0.7878,1.072,0.000713,0.000713,0.000713
67,733.074,0.79926,0.62675,1.00805,0.86848,0.93333,0.90538,0.61847,1.11537,0.80751,1.102,0.0006932,0.0006932,0.0006932
68,745.241,0.78567,0.61681,1.00024,0.89918,0.89207,0.93523,0.67268,1.0202,0.74568,1.06868,0.0006734,0.0006734,0.0006734
69,757.228,0.81305,0.63443,0.9945,0.88556,0.9,0.92813,0.67888,1.00723,0.74549,1.0369,0.0006536,0.0006536,0.0006536
70,769.055,0.77074,0.59807,0.99213,0.89509,0.9,0.92147,0.67372,1.05779,0.75495,1.02822,0.0006338,0.0006338,0.0006338
71,780.963,0.82717,0.61457,1.00944,0.90306,0.9316,0.91912,0.64681,1.08911,0.774,1.04127,0.000614,0.000614,0.000614
72,792.675,0.78409,0.59583,0.99983,0.89654,0.93333,0.91304,0.65494,1.04112,0.73912,1.05656,0.0005942,0.0005942,0.0005942
73,805.108,0.7614,0.57038,0.98023,0.89419,0.93333,0.91357,0.66503,1.0234,0.71854,1.05867,0.0005744,0.0005744,0.0005744
74,817.077,0.80687,0.61709,1.02234,0.89136,0.93333,0.89979,0.65777,1.02632,0.73799,1.01859,0.0005546,0.0005546,0.0005546
75,830.753,0.77424,0.59899,0.99336,0.91896,0.93333,0.89629,0.64421,1.07217,0.76125,1.01449,0.0005348,0.0005348,0.0005348
76,842.872,0.75458,0.59348,1.00503,0.93242,0.93333,0.89989,0.62355,1.18714,0.80783,1.04949,0.000515,0.000515,0.000515
77,849.166,0.75034,0.60157,0.98866,0.93315,0.93069,0.90618,0.6498,1.14679,0.7902,1.03541,0.0004952,0.0004952,0.0004952
78,855.927,0.75828,0.57768,0.98457,0.92582,0.9,0.90249,0.65313,1.0432,0.7579,1.01357,0.0004754,0.0004754,0.0004754
79,860.534,0.76556,0.60063,0.99236,0.92978,0.9,0.90218,0.66833,1.02027,0.76641,1.01096,0.0004556,0.0004556,0.0004556
80,871.782,0.74431,0.5824,0.98566,0.92924,0.9,0.93234,0.67892,1.00818,0.68698,1.01067,0.0004358,0.0004358,0.0004358
81,883.612,0.70455,0.56504,0.96964,0.85364,0.97224,0.94382,0.67177,1.03329,0.6724,1.03192,0.000416,0.000416,0.000416
82,895.451,0.73305,0.56066,0.98397,0.88196,0.9963,0.94548,0.67183,1.05231,0.69924,1.04578,0.0003962,0.0003962,0.0003962
83,907.812,0.71247,0.54439,0.94897,0.88202,0.99687,0.94047,0.668,1.06157,0.70389,1.04439,0.0003764,0.0003764,0.0003764
84,920.008,0.73822,0.56362,0.98683,0.90198,0.96667,0.93972,0.67125,1.06572,0.68216,1.03992,0.0003566,0.0003566,0.0003566
85,926.898,0.70652,0.55425,0.96982,0.90025,0.96667,0.9329,0.67016,1.09212,0.69015,1.03764,0.0003368,0.0003368,0.0003368
86,931.05,0.71338,0.55537,0.97422,0.93525,0.96297,0.93126,0.66256,1.09777,0.67771,1.02853,0.000317,0.000317,0.000317
87,935.144,0.71678,0.55281,0.96866,0.929,0.93333,0.93051,0.66048,1.08184,0.67689,1.02396,0.0002972,0.0002972,0.0002972
88,947.343,0.70921,0.53338,0.96594,0.92765,0.93333,0.93171,0.65793,1.04549,0.66515,1.02734,0.0002774,0.0002774,0.0002774
