epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07906,1.20587,2.76376,1.24512,0.00833,0.75,0.08057,0.05832,1.06353,2.97953,1.20425,4e-05,4e-05,4e-05
2,8.14723,1.16379,2.81468,1.21697,0.00833,0.75,0.13408,0.10149,1.07444,2.98102,1.21562,9.901e-05,9.901e-05,9.901e-05
3,10.32,1.18757,2.73627,1.18982,0.00806,0.725,0.36743,0.29427,1.03057,2.92515,1.17323,0.000156832,0.000156832,0.000156832
4,15.9167,1.06449,2.48339,1.1229,0.00944,0.85,0.36111,0.27844,0.92569,2.87147,1.10161,0.000213466,0.000213466,0.000213466
5,21.5594,1.026,2.11991,1.07123,0.01028,0.925,0.45612,0.30962,1.101,2.82052,1.13097,0.000268912,0.000268912,0.000268912
6,23.717,1.0899,1.9649,1.16249,0.01056,0.95,0.49464,0.35729,1.05052,2.77056,1.10362,0.00032317,0.00032317,0.00032317
7,26.4494,1.03781,1.8533,1.18398,0.01056,0.95,0.6574,0.47324,1.04867,2.70097,1.08114,0.00037624,0.00037624,0.00037624
8,32.07,1.12839,1.70209,1.13537,0.01056,0.95,0.67369,0.48842,1.04826,2.66567,1.07652,0.000428122,0.000428122,0.000428122
9,37.6279,1.04152,1.59988,1.13465,0.51037,0.625,0.65253,0.49233,1.04195,2.56406,1.09221,0.000478816,0.000478816,0.000478816
10,43.1564,1.08484,1.51032,1.18625,1,0.30305,0.61276,0.46189,1.07481,2.51141,1.13364,0.000528322,0.000528322,0.000528322
11,48.7336,1.10216,1.35704,1.19116,0.93425,0.35549,0.48468,0.30431,1.42452,2.70696,1.39383,0.00057664,0.00057664,0.00057664
12,54.3234,1.14215,1.42218,1.17738,0.86899,0.33196,0.47761,0.28781,1.51271,2.73745,1.48396,0.00062377,0.00062377,0.00062377
13,59.8524,1.09819,1.3109,1.14165,0.96011,0.425,0.56042,0.37054,1.28888,2.51807,1.32413,0.000669712,0.000669712,0.000669712
14,65.3959,0.94699,1.24351,1.07944,0.89784,0.43974,0.54984,0.36587,1.26824,2.46798,1.27426,0.000714466,0.000714466,0.000714466
15,70.9574,1.0396,1.19748,1.11275,0.41366,0.325,0.33441,0.24337,1.36847,2.72088,1.40843,0.000758032,0.000758032,0.000758032
16,73.0441,1.03183,1.19407,1.10368,0.4497,0.225,0.22284,0.14863,1.45211,3.03143,1.48442,0.00080041,0.00080041,0.00080041
17,75.1451,1.03935,1.25732,1.13553,0.69194,0.15,0.22308,0.11865,1.60063,3.22206,1.62546,0.0008416,0.0008416,0.0008416
18,80.6851,1.1016,1.21755,1.12936,0.79163,0.15,0.23093,0.14887,1.68356,3.16826,1.58827,0.000881602,0.000881602,0.000881602
19,82.8211,1.16178,1.30052,1.11822,0.90942,0.2,0.24537,0.17776,1.64316,2.87889,1.5821,0.000920416,0.000920416,0.000920416
20,85.5878,1.0952,1.13475,1.09361,0.54044,0.2,0.24288,0.15587,1.73485,2.83055,1.69515,0.000958042,0.000958042,0.000958042
21,91.1493,1.09879,1.14391,1.098,0.62151,0.35,0.3722,0.21093,1.76039,2.63459,1.78085,0.00099448,0.00099448,0.00099448
22,93.2624,1.06731,1.12044,1.09958,0.5623,0.4177,0.49711,0.31124,1.68215,2.29615,1.64571,0.00102973,0.00102973,0.00102973
23,95.3101,1.0113,1.17902,1.10376,0.64901,0.5,0.57693,0.36366,1.58316,2.16785,1.51483,0.00106379,0.00106379,0.00106379
24,100.866,0.90836,1.15291,1.06608,0.64265,0.58463,0.68146,0.43616,1.43111,2.00394,1.42289,0.00109667,0.00109667,0.00109667
25,106.477,1.08304,1.1493,1.10293,0.66929,0.5567,0.66155,0.43004,1.39294,2.0415,1.35144,0.00112835,0.00112835,0.00112835
26,108.661,1.01731,1.1033,1.0764,0.8792,0.575,0.7329,0.46419,1.38696,2.02044,1.33738,0.00115885,0.00115885,0.00115885
27,111.048,1.01726,1.05528,1.08365,0.9494,0.65,0.76793,0.48771,1.37738,2.02065,1.306,0.00118816,0.00118816,0.00118816
28,116.726,1.08148,1.09134,1.11159,0.89519,0.625,0.74872,0.49527,1.29391,1.98171,1.29031,0.00121628,0.00121628,0.00121628
29,122.411,1.00786,1.07431,1.07189,0.89519,0.625,0.74872,0.49527,1.29391,1.98171,1.29031,0.00124322,0.00124322,0.00124322
30,124.545,1.1088,1.18719,1.11963,0.84316,0.625,0.73088,0.47469,1.32244,1.97234,1.24928,0.00126896,0.00126896,0.00126896
31,126.613,0.98695,0.9815,1.06179,0.76969,0.58504,0.70603,0.4543,1.2441,1.97448,1.22554,0.00129352,0.00129352,0.00129352
32,132.305,1.02278,1.06744,1.11368,0.74311,0.55,0.60111,0.41538,1.22906,2.02199,1.2187,0.00131689,0.00131689,0.00131689
33,137.957,1.04575,1.09669,1.10815,0.74311,0.55,0.60111,0.41538,1.22906,2.02199,1.2187,0.00133907,0.00133907,0.00133907
34,140.161,1.04881,1.02799,1.11907,0.60909,0.65,0.59641,0.41043,1.2997,2.02129,1.30268,0.0013466,0.0013466,0.0013466
35,142.252,1.00442,0.98284,1.04942,0.77589,0.6,0.68286,0.49147,1.29039,1.85292,1.29247,0.0013268,0.0013268,0.0013268
36,147.865,0.92509,0.98008,1.0642,0.81475,0.6,0.67277,0.47391,1.32281,1.80269,1.29932,0.001307,0.001307,0.001307
37,153.449,0.97976,1.01489,1.06466,0.81475,0.6,0.67277,0.47391,1.32281,1.80269,1.29932,0.0012872,0.0012872,0.0012872
38,159.069,1.02195,1.0266,1.08514,0.85018,0.55,0.69094,0.48361,1.37042,1.82308,1.35177,0.0012674,0.0012674,0.0012674
39,164.711,1.01133,1.01385,1.07624,0.8077,0.475,0.54768,0.38943,1.35601,2.00879,1.36686,0.0012476,0.0012476,0.0012476
40,170.33,1.00723,0.97042,1.07111,0.76734,0.49487,0.60684,0.42171,1.32635,1.82379,1.32828,0.0012278,0.0012278,0.0012278
41,175.975,0.99268,0.94166,1.08589,0.76734,0.49487,0.60684,0.42171,1.32635,1.82379,1.32828,0.001208,0.001208,0.001208
42,178.142,0.95157,0.93058,1.07861,0.6836,0.70224,0.70525,0.4866,1.32371,1.56128,1.25786,0.0011882,0.0011882,0.0011882
43,180.244,1.02052,0.90926,1.07849,0.87758,0.6,0.73763,0.4622,1.42055,1.58429,1.29472,0.0011684,0.0011684,0.0011684
44,185.878,0.95841,0.93553,1.04426,0.7465,0.73633,0.77486,0.51021,1.38506,1.53259,1.32451,0.0011486,0.0011486,0.0011486
45,188.005,1.00065,0.9213,1.06785,0.7465,0.73633,0.77486,0.51021,1.38506,1.53259,1.32451,0.0011288,0.0011288,0.0011288
46,190.074,0.94933,0.90278,1.03796,0.77234,0.8,0.81121,0.52392,1.34702,1.3722,1.34401,0.001109,0.001109,0.001109
47,195.621,0.96716,0.91272,1.03649,0.75988,0.8,0.83163,0.55699,1.32655,1.35012,1.29124,0.0010892,0.0010892,0.0010892
48,201.26,0.91138,0.87654,1.07222,0.93482,0.725,0.88777,0.58265,1.31596,1.24736,1.27727,0.0010694,0.0010694,0.0010694
49,206.873,0.90339,0.88228,1.0354,0.93482,0.725,0.88777,0.58265,1.31596,1.24736,1.27727,0.0010496,0.0010496,0.0010496
50,209.02,0.89142,0.93187,1.058,0.89115,0.81879,0.91443,0.55728,1.31043,1.21854,1.27966,0.0010298,0.0010298,0.0010298
51,211.101,0.9295,0.91326,1.07892,0.94149,0.80464,0.93701,0.54771,1.37262,1.19354,1.32883,0.00101,0.00101,0.00101
52,213.813,0.96569,0.84235,1.05612,0.96957,0.79655,0.91461,0.53762,1.39045,1.19001,1.30025,0.0009902,0.0009902,0.0009902
53,216.455,0.88349,0.88546,1.02844,0.96957,0.79655,0.91461,0.53762,1.39045,1.19001,1.30025,0.0009704,0.0009704,0.0009704
54,222.052,0.88078,0.8549,1.00553,0.91892,0.825,0.93993,0.56025,1.34693,1.14746,1.2441,0.0009506,0.0009506,0.0009506
55,227.65,0.95546,0.87161,1.0623,0.9907,0.725,0.91036,0.57178,1.29695,1.1568,1.19051,0.0009308,0.0009308,0.0009308
56,233.238,0.93137,0.90894,1.06069,0.76102,0.87576,0.89146,0.567,1.24413,1.18113,1.1332,0.000911,0.000911,0.000911
57,238.833,0.88804,0.78987,1.01642,0.76102,0.87576,0.89146,0.567,1.24413,1.18113,1.1332,0.0008912,0.0008912,0.0008912
58,244.396,0.89282,0.82036,1.02869,0.82443,0.82182,0.87299,0.55204,1.23217,1.18971,1.14564,0.0008714,0.0008714,0.0008714
59,250.02,0.86621,0.7911,1.00141,0.83123,0.73895,0.81302,0.53404,1.24246,1.24492,1.181,0.0008516,0.0008516,0.0008516
60,252.145,0.8696,0.79809,1.04989,0.89476,0.63786,0.75538,0.51107,1.25811,1.37483,1.19598,0.0008318,0.0008318,0.0008318
61,254.204,0.81062,0.84393,1.02389,0.89476,0.63786,0.75538,0.51107,1.25811,1.37483,1.19598,0.000812,0.000812,0.000812
62,259.763,0.89484,0.78787,1.01033,0.99805,0.625,0.77396,0.5158,1.20358,1.34597,1.16514,0.0007922,0.0007922,0.0007922
63,265.346,0.87346,0.8064,1.02219,0.97565,0.625,0.76469,0.53359,1.16826,1.30388,1.15195,0.0007724,0.0007724,0.0007724
64,267.528,0.88585,0.79461,1.04805,0.80682,0.7,0.80509,0.53488,1.18017,1.29967,1.19227,0.0007526,0.0007526,0.0007526
65,269.617,0.87585,0.83615,1.01182,0.80682,0.7,0.80509,0.53488,1.18017,1.29967,1.19227,0.0007328,0.0007328,0.0007328
66,275.2,0.86163,0.75239,1.02524,0.86306,0.675,0.80537,0.53607,1.25341,1.25216,1.26848,0.000713,0.000713,0.000713
67,277.313,0.81954,0.76465,0.98107,0.84946,0.70547,0.81731,0.54035,1.2795,1.20574,1.28745,0.0006932,0.0006932,0.0006932
68,279.338,0.83806,0.76404,1.04234,0.80767,0.775,0.80973,0.55771,1.25571,1.16396,1.26809,0.0006734,0.0006734,0.0006734
69,284.881,0.83917,0.71588,0.99133,0.80767,0.775,0.80973,0.55771,1.25571,1.16396,1.26809,0.0006536,0.0006536,0.0006536
70,290.446,0.83711,0.7912,0.99022,0.7912,0.775,0.8194,0.56775,1.1657,1.13372,1.19154,0.0006338,0.0006338,0.0006338
71,292.534,0.77232,0.7073,0.9707,0.90812,0.74145,0.80647,0.56717,1.16563,1.11522,1.17583,0.000614,0.000614,0.000614
72,294.58,0.83248,0.7558,1.0107,0.88669,0.78266,0.82117,0.55986,1.19455,1.10668,1.18048,0.0005942,0.0005942,0.0005942
73,300.104,0.78721,0.73399,0.97131,0.88669,0.78266,0.82117,0.55986,1.19455,1.10668,1.18048,0.0005744,0.0005744,0.0005744
74,302.223,0.78222,0.72743,1.00509,0.88659,0.8,0.82305,0.55225,1.21879,1.11481,1.19561,0.0005546,0.0005546,0.0005546
75,304.302,0.76311,0.79514,0.97341,0.86403,0.79446,0.82827,0.56376,1.25628,1.13642,1.21875,0.0005348,0.0005348,0.0005348
76,309.839,0.7475,0.70531,0.94538,0.93531,0.72299,0.83719,0.5597,1.27359,1.14405,1.23528,0.000515,0.000515,0.000515
77,315.349,0.83153,0.75956,0.99433,0.93531,0.72299,0.83719,0.5597,1.27359,1.14405,1.23528,0.0004952,0.0004952,0.0004952
78,317.489,0.80578,0.73249,0.98205,0.91148,0.775,0.84702,0.55914,1.23352,1.07894,1.19924,0.0004754,0.0004754,0.0004754
79,319.646,0.77401,0.77887,1.00879,0.89038,0.81239,0.87715,0.56192,1.21963,1.02256,1.1936,0.0004556,0.0004556,0.0004556
80,325.185,0.6979,0.66648,0.97217,0.91215,0.825,0.90289,0.58325,1.2054,0.97711,1.17266,0.0004358,0.0004358,0.0004358
81,330.691,0.71624,0.66392,0.9638,0.91215,0.825,0.90289,0.58325,1.2054,0.97711,1.17266,0.000416,0.000416,0.000416
82,332.822,0.77205,0.70967,1.00739,0.94261,0.82137,0.91576,0.59685,1.1895,0.94565,1.17424,0.0003962,0.0003962,0.0003962
83,335.515,0.78263,0.66551,0.96493,0.89722,0.87302,0.90639,0.59547,1.19415,0.95117,1.18483,0.0003764,0.0003764,0.0003764
84,341.217,0.75033,0.74598,1.02497,0.92042,0.86761,0.90664,0.59867,1.19275,0.97653,1.19095,0.0003566,0.0003566,0.0003566
85,347.022,0.74246,0.65609,0.95664,0.92042,0.86761,0.90664,0.59867,1.19275,0.97653,1.19095,0.0003368,0.0003368,0.0003368
86,352.69,0.78917,0.67538,0.97312,0.90651,0.825,0.89899,0.59577,1.184,1.0303,1.19202,0.000317,0.000317,0.000317
87,358.392,0.73969,0.67452,0.9518,0.91174,0.77474,0.91018,0.59063,1.18136,1.08881,1.19426,0.0002972,0.0002972,0.0002972
88,360.54,0.74427,0.70287,0.98766,0.90616,0.72425,0.87643,0.58227,1.19455,1.14916,1.20049,0.0002774,0.0002774,0.0002774
89,362.636,0.73139,0.66605,0.92268,0.90616,0.72425,0.87643,0.58227,1.19455,1.14916,1.20049,0.0002576,0.0002576,0.0002576
90,368.354,0.67342,0.66703,0.95477,0.93054,0.7,0.86072,0.57091,1.20479,1.16436,1.19884,0.0002378,0.0002378,0.0002378
91,388.604,0.66424,0.70987,0.9088,0.83386,0.75291,0.86567,0.57112,1.22131,1.16841,1.20354,0.000218,0.000218,0.000218
92,390.962,0.62095,0.68468,0.90367,0.83471,0.775,0.86713,0.56311,1.24518,1.16513,1.21559,0.0001982,0.0001982,0.0001982
93,396.617,0.64824,0.69928,0.90344,0.83471,0.775,0.86713,0.56311,1.24518,1.16513,1.21559,0.0001784,0.0001784,0.0001784
94,402.288,0.63659,0.65655,0.90075,0.84203,0.79957,0.87545,0.55248,1.26084,1.18393,1.22505,0.0001586,0.0001586,0.0001586
95,407.996,0.71113,0.70249,0.91819,0.86629,0.81,0.90516,0.57738,1.24504,1.14704,1.22287,0.0001388,0.0001388,0.0001388
96,410.117,0.6388,0.66812,0.91316,0.89171,0.82348,0.90911,0.58012,1.23454,1.14899,1.21906,0.000119,0.000119,0.000119
97,412.135,0.64673,0.66765,0.91949,0.89171,0.82348,0.90911,0.58012,1.23454,1.14899,1.21906,9.92e-05,9.92e-05,9.92e-05
98,417.699,0.64467,0.65284,0.89412,0.89202,0.85,0.91671,0.59557,1.22037,1.11834,1.21303,7.94e-05,7.94e-05,7.94e-05
99,419.822,0.63847,0.66546,0.9008,0.89509,0.875,0.91612,0.59895,1.2123,1.09928,1.20484,5.96e-05,5.96e-05,5.96e-05
100,422.595,0.63054,0.69288,0.91014,0.87448,0.87097,0.91985,0.60507,1.21108,1.07929,1.20136,3.98e-05,3.98e-05,3.98e-05
