epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,101.071,0.83032,0.98425,1.04965,0.42633,0.18182,0.176,0.09048,1.26649,3.49673,1.23411,0.000487162,0.000487162,0.000487162
43,103.704,0.74439,0.95345,1.01342,0.00667,0.72727,0.16999,0.05757,1.38185,3.71334,1.44997,0.000490728,0.000490728,0.000490728
44,106.333,0.8119,1.02177,1.00091,0.00667,0.72727,0.16999,0.05757,1.38185,3.71334,1.44997,0.000493898,0.000493898,0.000493898
45,108.928,0.72661,0.93879,0.99073,0.00667,0.72727,0.13671,0.04186,1.53032,3.6275,1.67541,0.000496672,0.000496672,0.000496672
46,111.567,0.68292,0.99076,0.98716,0.00667,0.72727,0.13671,0.04186,1.53032,3.6275,1.67541,0.00049905,0.00049905,0.00049905
47,114.169,0.702,0.90974,0.9642,0.00667,0.72727,0.13022,0.06557,1.48839,3.69793,1.68616,0.000501032,0.000501032,0.000501032
48,116.779,0.73523,0.92868,1.00172,0.00667,0.72727,0.13022,0.06557,1.48839,3.69793,1.68616,0.000502618,0.000502618,0.000502618
49,119.377,0.73665,1.03562,0.98381,0.0075,0.81818,0.13662,0.07077,1.52393,3.67955,1.63788,0.000503808,0.000503808,0.000503808
50,122.002,0.73897,0.90553,0.9716,0.0075,0.81818,0.13662,0.07077,1.52393,3.67955,1.63788,0.000504602,0.000504602,0.000504602
51,124.635,0.747,0.95116,1.01448,0.16582,0.18182,0.16936,0.05682,1.6466,3.62264,1.72017,0.000505,0.000505,0.000505
52,127.289,0.69183,0.96803,0.97874,0.16582,0.18182,0.16936,0.05682,1.6466,3.62264,1.72017,0.000505002,0.000505002,0.000505002
53,129.883,0.72233,1.08404,1.01506,0.16582,0.18182,0.16936,0.05682,1.6466,3.62264,1.72017,0.000504608,0.000504608,0.000504608
54,132.449,0.63642,0.85531,0.92451,1,0.17921,0.28303,0.10033,1.5843,3.64502,1.57181,0.000503818,0.000503818,0.000503818
55,135.019,0.63427,0.85044,0.96063,1,0.17921,0.28303,0.10033,1.5843,3.64502,1.57181,0.000502632,0.000502632,0.000502632
56,137.537,0.65255,0.90801,0.97771,1,0.17921,0.28303,0.10033,1.5843,3.64502,1.57181,0.00050105,0.00050105,0.00050105
57,140.08,0.6797,1.16529,0.99961,0.00667,0.72727,0.2818,0.12599,1.5203,3.5735,1.49975,0.000499072,0.000499072,0.000499072
58,142.656,0.69663,0.87045,0.94865,0.00667,0.72727,0.2818,0.12599,1.5203,3.5735,1.49975,0.000496698,0.000496698,0.000496698
59,145.269,0.75308,0.94751,0.99174,0.00667,0.72727,0.2818,0.12599,1.5203,3.5735,1.49975,0.000493928,0.000493928,0.000493928
60,147.856,0.77175,0.92978,1.01389,0.0075,0.81818,0.24766,0.13727,1.5649,3.4323,1.43259,0.000490762,0.000490762,0.000490762
61,150.483,0.797,0.89614,0.99195,0.0075,0.81818,0.24766,0.13727,1.5649,3.4323,1.43259,0.0004872,0.0004872,0.0004872
62,153.145,0.69751,0.87986,0.93319,0.0075,0.81818,0.24766,0.13727,1.5649,3.4323,1.43259,0.000483242,0.000483242,0.000483242
63,155.787,0.77646,0.93773,0.9808,1,0.18315,0.3053,0.19234,1.3205,3.19948,1.1612,0.000478888,0.000478888,0.000478888
64,158.441,0.67419,0.84844,0.95682,1,0.18315,0.3053,0.19234,1.3205,3.19948,1.1612,0.000474138,0.000474138,0.000474138
65,161.095,0.67607,0.9291,1.0096,1,0.18315,0.3053,0.19234,1.3205,3.19948,1.1612,0.000468992,0.000468992,0.000468992
66,163.846,0.65072,0.8853,0.94864,1,0.19918,0.31341,0.21347,1.17579,3.02618,1.08062,0.00046345,0.00046345,0.00046345
67,166.597,0.66693,0.87055,0.98729,1,0.19918,0.31341,0.21347,1.17579,3.02618,1.08062,0.000457512,0.000457512,0.000457512
68,169.257,0.68599,0.92933,1.02134,1,0.19918,0.31341,0.21347,1.17579,3.02618,1.08062,0.000451178,0.000451178,0.000451178
69,171.928,0.74552,0.86193,0.97286,1,0.23572,0.3235,0.24251,1.01721,2.86936,0.98524,0.000444448,0.000444448,0.000444448
70,174.531,0.65514,0.82773,0.88654,1,0.23572,0.3235,0.24251,1.01721,2.86936,0.98524,0.000437322,0.000437322,0.000437322
71,177.18,0.59842,0.85163,0.94529,1,0.23572,0.3235,0.24251,1.01721,2.86936,0.98524,0.0004298,0.0004298,0.0004298
72,179.91,0.56097,0.83632,0.92453,0.90448,0.27273,0.37078,0.29982,0.97085,2.74335,0.93567,0.000421882,0.000421882,0.000421882
73,182.552,0.67957,0.86007,0.95554,0.90448,0.27273,0.37078,0.29982,0.97085,2.74335,0.93567,0.000413568,0.000413568,0.000413568
74,185.213,0.71812,0.91707,0.98785,0.90448,0.27273,0.37078,0.29982,0.97085,2.74335,0.93567,0.000404858,0.000404858,0.000404858
75,187.911,0.62885,0.87434,1.0495,1,0.34371,0.459,0.37689,0.90152,2.63041,0.89377,0.000395752,0.000395752,0.000395752
76,190.536,0.70215,0.80875,0.92226,1,0.34371,0.459,0.37689,0.90152,2.63041,0.89377,0.00038625,0.00038625,0.00038625
77,193.115,0.69296,0.82251,0.97511,1,0.34371,0.459,0.37689,0.90152,2.63041,0.89377,0.000376352,0.000376352,0.000376352
78,195.748,0.64141,0.80495,0.94622,1,0.36207,0.47925,0.39979,0.93959,2.53247,0.90702,0.000366058,0.000366058,0.000366058
79,198.334,0.62418,0.79928,0.90533,1,0.36207,0.47925,0.39979,0.93959,2.53247,0.90702,0.000355368,0.000355368,0.000355368
80,200.976,0.63839,0.8308,0.94733,1,0.36207,0.47925,0.39979,0.93959,2.53247,0.90702,0.000344282,0.000344282,0.000344282
